Email,Name,Business Name,Category,Location,zipCode,Business Description,Phone,Website,Donation Link,Image,In Need
,,Fish Thyme,Restaurant,"Atlanta, GA",,,+17709742323,http://fishthymerestaurant.com,,,
,,Hardcore Sweets,Restaurant,"Atlanta, GA",,,+14049658653,http://hardcoresweets.com,,,
,,Popbar,Restaurant,"Atlanta, GA",,,+14702942910,www.pop-bar.com,,,
,,The Plate Sale,Restaurant,"Atlanta, GA",,,+17063630698,https://www.theplatesale.com,,,
,,Juice Me Too,Restaurant,"Atlanta, GA",,,+16784836145,https://www.juicemetoo.com,,,
,,The Cenacle,Restaurant,"Atlanta, GA",,,+17709662711,https://www.thecenaclecoffee.com,,,
,,K & K Soul Food,Restaurant,"Atlanta, GA",,,+14046851073,http://kksoulfood.com,,,
,,Taste Buddz ATL,Restaurant,"Atlanta, GA",,,+14703997720,,,,
,,Feedel Bistro,Restaurant,"Atlanta, GA",,,+14049632905,http://feedelbistro.com,,,
,,Desta Ethiopian Kitchen,Restaurant,"Atlanta, GA",,,+14049290011,https://destaethiopiankitchen.com,,,
,,Roc South Cuisine,Restaurant,"Atlanta, GA",,,+14044815915,https://www.rocsouth.com,,,
,,Sweet Cheats Bakery,Restaurant,"Atlanta, GA",,,+14045906086,https://sweetcheatsatlanta.com,,,
,,Baltimore Crab & Seafood,Restaurant,"Atlanta, GA",,,+14045052900,baltimorecrab.suredine.com,,,
,,One Time Bar-B-Que,Restaurant,"Atlanta, GA",,,+14045652826,https://www.facebook.com/pages/category/Barbecue-Restaurant/One-Time-Bar-B-Que-110085700384339,,,
,,Gocha's Breakfast Bar,Restaurant,"Atlanta, GA",,,+16789279166,https://www.gochasbreakfastbar.com,,,
,,The Spice House,Restaurant,"Atlanta, GA",,,+17705599595,http://spicehouseatl.com,,,
,,Dat Fire Jerk Chicken,Restaurant,"Atlanta, GA",,,+14042544494,https://www.datfirejerkchicken.com,,,
,,Esobar Restaurant & Tapas,Restaurant,"Atlanta, GA",,,+14049417907,https://www.escobaratlanta.com,,,
,,Old Lady Gang Southern Cuisine,Restaurant,"Atlanta, GA",,,+14047489689,http://oldladygang.com,,,
,,Paschal's,Restaurant,"Atlanta, GA",,,+14045252023,https://www.paschalsatlanta.com,,,
,,Trederick's Seafood,Restaurant,"Atlanta, GA",,,+14703432175,https://www.tredericksseafood.com,,,
,,Lenox Cupcakes,Restaurant,"Atlanta, GA",,,+14049490409,https://www.lenoxcupcakes.com,,,
info@islandchefcafe.com,,Island Chef Cafe,Restaurant,"Atlanta, GA",,,,https://www.islandchefcafe.com/foodtruck,,,
gasfoodtruckatl@gmail.com,,GAS Food Truck,Restaurant,"Atlanta, GA",,,,https://www.facebook.com/GASFoodTruckATL,,,
,,Bankhead Seafood,Restaurant,"Atlanta, GA",,,+14047946904,https://www.facebook.com/pages/Bankhead-Seafood/145766032123911,,,
,,From the Earth,Restaurant,"Atlanta, GA",,,+14043434984,freshfromearth.us,,,
,,Hattie Marie's BBQ,Restaurant,"Atlanta, GA",,,+16787968205,https://www.hattiemariesbarbecue.com,,,
,,The Real Milk and Honey,Restaurant,"Atlanta, GA",,,+14049689266,https://www.milkandhoneyatl.com,,,
,,Virgil's Gullah Kitchen & Bar,Restaurant,"Atlanta, GA",,,+14042284897,https://virgilsgullahkitchen.com,,,
,,Nouveau Bar & Grill,Restaurant,"Atlanta, GA",,,+14043436785,nouveaubar.com,,,
,,Dellia's Jerk Palace,Restaurant,"Atlanta, GA",,,+16782032207,https://www.facebook.com/pages/Dellia-Jerk-Palace/490072377821546,,,
,,Disaspora Kitchen,Restaurant,"Atlanta, GA",,,+14702405858,diaspora-kitchenatl.com,,,
,,Mela Ethiopian,Restaurant,"Atlanta, GA",,,+14043432130,https://melaethiopiankitchen.com,,,
,,Ms. Icey's Kitchen & Bar,Restaurant,"Atlanta, GA",,,+14049637871,https://www.msiceys.com,,,
