email,name,businessName,category,storeFront,street,city,state,zipCode,phone,businessDescription,website,donationLink,image,inNeed,approved,source
,,4 Everyone Occasion Cakes,,,,,,,+12157222250,,https://www.4everyoccasioncakes.com/,,,,,
,,48th Street Grille,,,,,,,+12672444764,,http://www.48thstreetgrille.com/,,,,,
,,720 West Bistro,,,,,,,+12154724400,,https://www.instagram.com/720westbistro/?hl=en,,,,,
,,Abyssinia Ethiopian Restaurant,,,,,,,+12153872424,,http://www.abyssiniarestaurantbar.com/,,,,,
,,African Small Pot,,,,,,,+12677137603,,http://africansmallpot.com/,,,,,
,,Aksum,,,,,,,+12672758195,,https://www.aksumcafe.com,,,,,
,,Alena's Cafe,,,,,,,+12674372152,,https://www.instagram.com/alena_cafe/,,,,,
,,All the Way Live Cafe - Germantown,,,,,,,+12158217298,,http://alllivefood.eyewerkwebsites.com,,,,,
,,Amalgam Comics & Coffeehouse,,,,,,,+12154273300,,https://www.facebook.com/amalgamphilly/,,,,,
,,Amari's,,,,,,,+12159219552,,http://amarisrestaurant.com/,,,,,
,,Angie's Kitchen,,,,,,,+12154711422,,https://www.instagram.com/angieskitchen/,,,,,
,,Angry Deekin Ribs,,,,,,,+12153154118,,https://angrydeekinribsonline.com/,,,,,
,,Atiya Ola’s Spirit First Foods,,,,,,,+12159393298,,https://www.spiritfirstfoods.com/,,,,,
,,Audrey’s Caribbean Kitchen,,,,,,,+12152245000,,,,,,,
,,Auntie's Biscuits,,,,,,,+12677482400,,https://auntiesbiscuits.com/,,,,,
,,B&S Soul Food,,,,,,,+14458883177,,https://www.facebook.com/bandssoulfood/,,,,,
,,Baby Buns,,,,,,,+16092002301,,https://www.mybabybuns.com/,,,,,
,,Back a Yard,,,,,,,+12156266101,,https://www.facebook.com/pages/Back-A-Yard-Jamaican-Restaurant/127825827569147,,,,,
,,Banana Mousse,,,,,,,+16104009808,,https://www.bananamousse.com/,,,,,
,,Barkley’s BBQ,,,,,,,+12157637427,,https://www.instagram.com/barkleysbbq/,,,,,
,,Big Boyz Soul Food and Grill,,,,,,,+12676868758,,https://www.instagram.com/bigboyzsoulfood/,,,,,
,,Big G's Chicken Shack,,,,,,,+14458883408,,http://biggschickenshack.com/,,,,,
,,Bistro870,,,,,,,+12678441512,,https://www.bistro870.com/,,,,,
,,Black Seed Cafe,,,,,,,+12155441235,,https://www.blackseedcafe.com,,,,,
,,Blazin Flavorz,,,,,,,+12674286552,,https://www.ecwid.com/store/blazinflavorz/,,,,,
,,Booker’s Restaurant and Bar,,,,,,,+12158830960,,https://bookersrestaurantandbar.com/,,,,,
,,Bower Cafe,,,,,,,+12677585536,,https://bower-cafe.com/,,,,,
,,Breakfast Boutique - Broad Street,,,,,,,+12673316045,,http://www.desireesbreakfastboutique.net/?fbclid=IwAR2zpolsSjDXERwEVwfQtdav5v1Vp_WQWOgVG_ZgpSyg-dXkq0IrP7WPi9I,,,,,
,,Breakfast Boutique - Chestnut Hill,,,,,,,+12156217796,,https://www.facebook.com/bbchestnuthill/,,,,,
,,Breakfast Boutique - Mt. Airy,,,,,,,+12674372884,,https://www.facebook.com/BreakfastBoutiqueMountAiry/,,,,,
,,Bright Land Coffee - Hip Hemp Cafe,,,,,,,+12677586534,,https://www.brightlandcoffee.com,,,,,
,,Bright Land Coffee - North Side Dining Terrace,,,,,,,,,https://www.brightlandcoffee.com,,,,,
,,Bright Land Coffee - NouVaux Market,,,,,,,+12154387600,,https://www.brightlandcoffee.com,,,,,
,,Bright Land Coffee - V Marks the Shop,,,,,,,+14848431834,,https://www.brightlandcoffee.com,,,,,
,,Brotherly Grub,,,,,,,+12673202675,,https://www.brotherlygrub.biz,,,,,
,,Brown Sugar Bakery & Cafe,,,,,,,+12154727380,,http://brownsugarbakeryandcafephiladelphia.bestcafes.online,,,,,
,,Butter’s Soul Food to Go,,,,,,,+12152354724,,https://www.buttersoulfood.com/,,,,,
,,Buutchiis Grille,,,,,,,+12156430631,,http://www.buutchiisgrille.com/,,,,,
,,Callowhill Greens,,,,,,,+16106158605,,https://www.callowhillgreenscoffeebar.com/,,,,,
,,Careda's Caribbean Cuisine,,,,,,,+12675921446,,https://www.facebook.com/caredascaribbeancuisine/,,,,,
,,Caribbean Delight,,,,,,,+12158291030,,http://ordercaribbeandelight.com/,,,,,
,,Caribbean Palm Jamaican Food,,,,,,,+12674740184,,https://www.facebook.com/CaribbeanpalmJamaicanFood/,,,,,
,,Cheesecake Lady,,,,,,,+12675753952,,https://www.phillycheesecakelady.com/,,,,,
,,Chef Milly's Cafe,,,,,,,+12154363365,,https://www.instagram.com/chef_milly/,,,,,
,,Chef Reeky's Cafe & Juice Bar,,,,,,,+12159219915,,https://www.chefreekyscafe.com,,,,,
,,Chick-a-Boom - Delmar Drive,,,,,,,+14844941177,,https://www.chickaboomchicken.com,,,,,
,,Chick-a-Boom - Lancaster Ave,,,,,,,,,https://www.chickaboomchicken.com,,,,,
,,Clara's Groovy Deliciousness,,,,,,,+12676033270,,http://www.groovydeliciousness.com/,,,,,
,,Cloud Cup,,,,,,,,,https://www.thecloudcupscompany.com/,,,,,
,,Coffee Cream & Dreams,,,,,,,,,https://coffeecreamanddreams.square.site,,,,,
,,Cooks for the Culture,,,,,,,,,,,,,,
,,Cottons Place,,,,,,,+12154768024,,https://www.instagram.com/cottons_place/,,,,,
,,Country Cookin’ Restaurant & Catering,,,,,,,+12676253664,,https://www.instagram.com/countrycookin1/,,,,,
,,Crafty Soul,,,,,,,+12159215598,,https://craftysoulfood.com/,,,,,
,,Crimson Cafe,,,,,,,+12154722233,,https://www.facebook.com/CrimsonFamily/,,,,,
,,Daaiyah’s Delicious,,,,,,,+12672977495,,https://www.instagram.com/daaiyahsdelicious/?hl=en,,,,,
,,Dahlak,,,,,,,+12157266464,,https://www.dahlakrestaurant.comm,,,,,
,,Darnel's Cakes,,,,,,,,,https://www.darnelscakes.com/,,,,,
,,Deborah's Kitchen,,,,,,,+12157633327,,,,,,,
,,Dehli St. Bakery,,,,,,,,,https://www.instagram.com/delhistbakery/,,,,,
,,Denise's Bakery,,,,,,,+12152255425,,http://cakesbydenises.com/denises/,,,,,
,,Desiree's Breakfast Boutique (Chestnut Hill),,,,,,,+12156217796,,https://www.facebook.com/bbchestnuthill/,,,,,
,,Desiree's Breakfast Boutique (North Philly),,,,,,,+12673316045,,https://www.facebook.com/BreakfastBoutique2/,,,,,
,,Dibbs BBQ,,,,,,,+12158766500,,https://www.dibbsbbq.com,,,,,
,,Dos Tacos,,,,,,,+12155678226,,https://www.instagram.com/dostacosphilly/,,,,,
,,Duke's B.B.Q.,,,,,,,,,https://www.facebook.com/Dukes-BBQ-483701812029868/,,,,,
,,Edible Delights Catering,,,,,,,+12152363900,,https://eatibledelightscatering.com/,,,,,
,,Five Sisters Ice Cream and Sweets,,,,,,,+12156344419,,https://www.facebook.com/Five-sisters-ice-cream-middle-east-food-359447540915377/,,,,,
,,Flambo,,,,,,,+12676395179,,https://flamboh.com/,,,,,
,,Flavor Spot,,,,,,,+12157420206,,https://www.facebook.com/theflavorspots/,,,,,
,,Flavor Spot II,,,,,,,+12154557768,,https://www.facebook.com/theflavorspots/,,,,,
,,Food for Your Soul,,,,,,,+12153727340,,https://www.facebook.com/foodforyoursoul1/,,,,,
,,Frannie Nick's,,,,,,,+12159233495,,https://www.instagram.com/frannienicks___foodforyoursoul/,,,,,
,,Franny Lou's Porch,,,,,,,+12675966274,,https://frannylousporch.org/,,,,,
,,Fred's Water Ice,,,,,,,+12153907151,,https://www.fredswaterice.com/,,,,,
,,Friday Saturday Sunday,,,,,,,+12155464232,,https://www.fridaysaturdaysunday.com/,,,,,
,,Gigi's and Big R,,,,,,,+12154710164,,https://www.facebook.com/GiGisBigR/,,,,,
,,Gilbens Bakery,,,,,,,+12152980879,,https://www.facebook.com/cakes7405/,,,,,
,,Go Vegan Philly,,,,,,,+12153153131,,https://www.facebook.com/goveganphilly,,,,,
,,Gojjo Ethiopian Bar & Restaurant,,,,,,,+12153861444,,https://www.gojjos.us/,,,,,
,,Good Karma Cafe - Fitler Square,,,,,,,+12155461479,,http://www.thegoodkarmacafe.com/,,,,,
,,Good Karma Cafe - Schuylkill Banks,,,,,,,+12672392068,,http://www.thegoodkarmacafe.com/,,,,,
,,Good Karma Cafe - Society Hill,,,,,,,+12675198860,,http://www.thegoodkarmacafe.com/,,,,,
